### OpenMP C - Laptop

#Dimenzije	#Int	#Float	#Double

 256		  0.085	  0.091	  0.098
 512		  0.999   1.016	  1.093
1024		  9.023   9.372	 11.813
1536		 33.606	 34.501	 41.588
2048		121.199  83.323	110.045
